iter	Passed	Remaining
412	2985	4242
413	2991	4233
414	2996	4224
415	3002	4214
416	3007	4205
417	3013	4195
418	3019	4186
419	3025	4177
420	3030	4168
421	3036	4158
422	3042	4149
423	3047	4140
424	3053	4131
425	3059	4121
426	3064	4112
427	3070	4103
428	3076	4094
429	3081	4085
430	3087	4076
431	3093	4067
432	3099	4058
433	3105	4049
434	3111	4041
435	3116	4031
436	3122	4023
437	3128	4014
438	3134	4005
439	3139	3996
440	3145	3987
441	3152	3979
442	3158	3971
443	3164	3962
444	3170	3954
445	3178	3948
446	3184	3939
447	3190	3931
448	3196	3922
449	3202	3913
450	3207	3904
451	3213	3896
452	3219	3887
453	3225	3878
454	3230	3869
455	3236	3861
456	3242	3852
457	3248	3844
458	3254	3835
459	3259	3826
460	3265	3818
461	3271	3809
462	3277	3800
463	3282	3792
464	3288	3783
465	3294	3775
466	3300	3766
467	3305	3757
468	3311	3749
469	3317	3741
470	3324	3733
471	3330	3725
472	3335	3716
473	3341	3708
474	3347	3699
475	3353	3691
476	3358	3682
477	3364	3674
478	3370	3666
479	3377	3658
480	3382	3650
481	3388	3641
482	3394	3633
483	3400	3624
484	3405	3616
485	3411	3608
486	3417	3599
487	3422	3591
488	3428	3582
489	3434	3574
490	3440	3566
491	3445	3558
492	3452	3550
493	3457	3541
494	3463	3533
495	3469	3525
496	3475	3516
497	3480	3508
498	3486	3500
499	3492	3492
500	3498	3484
501	3503	3476
502	3509	3467
503	3516	3460
504	3523	3453
505	3530	3446
506	3537	3439
507	3544	3432
508	3551	3425
509	3558	3418
510	3567	3414
511	3577	3409
512	3586	3404
513	3593	3397
514	3599	3390
515	3607	3383
516	3613	3376
517	3620	3369
518	3627	3362
519	3634	3355
520	3641	3348
521	3648	3340
522	3655	3333
523	3662	3326
524	3669	3320
525	3677	3313
526	3684	3306
527	3691	3299
528	3698	3293
529	3705	3286
530	3712	3279
531	3719	3272
532	3727	3265
533	3735	3259
534	3742	3252
535	3749	3245
536	3755	3238
537	3763	3231
538	3770	3224
539	3777	3217
540	3784	3211
