iter	RMSE
198	8.805116756
199	8.786831241
200	8.76617629
201	8.7442925
202	8.7331277
203	8.714985062
204	8.695865176
205	8.660249393
206	8.644765485
207	8.628553314
208	8.614904723
209	8.578713418
210	8.562420971
211	8.529371187
212	8.518241274
213	8.496928047
214	8.485341022
215	8.467314611
216	8.437508163
217	8.407980791
218	8.37861097
219	8.361167631
220	8.342258376
221	8.322735512
222	8.307953977
223	8.281462376
224	8.274069608
225	8.261272251
226	8.231232638
227	8.21768628
228	8.195337442
229	8.17534081
230	8.150228029
231	8.135198442
232	8.104432005
233	8.077028213
234	8.05986298
235	8.04745646
236	8.02922403
237	8.015731742
238	7.998126332
239	7.986429962
240	7.9784767
241	7.96370904
242	7.955624244
243	7.932843907
244	7.917913557
245	7.896907225
246	7.8750424
247	7.857549254
248	7.844912578
249	7.836241233
250	7.823991381
251	7.81095498
252	7.799186796
253	7.778231008
254	7.760444668
255	7.742618749
256	7.717670663
257	7.70033251
258	7.690294279
259	7.670854353
260	7.656555628
261	7.644414155
262	7.627095865
263	7.605969145
264	7.590170062
265	7.577760544
266	7.564313981
267	7.558060483
268	7.543189323
269	7.531747377
270	7.510218954
271	7.499634536
272	7.487857647
273	7.482119966
274	7.464740479
275	7.452515906
276	7.441637499
277	7.426202485
278	7.408107593
279	7.402883709
280	7.384474385
281	7.368222512
282	7.360691874
283	7.354586384
284	7.341437215
285	7.331673716
286	7.318252886
287	7.304460009
288	7.289826453
289	7.276023795
290	7.265268702
291	7.260868622
292	7.252413647
293	7.246180863
294	7.229290075
295	7.213019428
296	7.203487705
297	7.192635752
298	7.182972675
299	7.172821481
300	7.157309231
301	7.135766975
302	7.124493055
303	7.105479352
304	7.097821413
305	7.087710138
306	7.078602617
307	7.069330888
308	7.063284191
309	7.051306097
310	7.03818052
311	7.028225564
312	7.019629994
313	7.000808558
314	6.985849671
315	6.974226816
316	6.965887794
317	6.953897017
318	6.946721745
319	6.935679242
320	6.923494441
321	6.912612965
322	6.90304228
323	6.890275494
324	6.878102376
325	6.869636223
326	6.859410766
327	6.849591077
328	6.844578491
329	6.831524895
330	6.826432808
331	6.814637094
332	6.809168813
333	6.799217897
334	6.792665333
335	6.785401827
336	6.770500839
337	6.756819351
338	6.749005141
339	6.744112295
340	6.731468519
341	6.723503532
342	6.715054194
343	6.706155193
344	6.695603363
345	6.691450655
346	6.683359932
347	6.674735292
348	6.668248536
349	6.652065719
350	6.639444039
351	6.635096798
352	6.626938521
353	6.615156609
354	6.607966229
355	6.603045854
356	6.596514499
357	6.589499144
358	6.577707896
359	6.572525017
360	6.56674978
361	6.553113283
362	6.543911089
363	6.538319764
364	6.531673355
365	6.516433326
366	6.512439159
367	6.502927786
368	6.498447863
369	6.492733457
370	6.485154719
371	6.479365985
372	6.475516269
373	6.468153655
374	6.463907629
375	6.460403073
376	6.455904878
377	6.442170803
378	6.435080113
379	6.429381743
380	6.424974619
381	6.413202854
382	6.408101989
383	6.397484729
384	6.384306758
385	6.381028244
386	6.370212362
387	6.357814163
388	6.346839869
389	6.332885468
390	6.326121906
391	6.319627827
392	6.31302808
393	6.305436257
394	6.2994811
395	6.292254559
396	6.285209628
397	6.280338864
398	6.26808687
399	6.264352331
400	6.254384269
401	6.251303027
402	6.240181409
403	6.23240304
404	6.229797803
405	6.220982277
406	6.208428299
407	6.202976625
408	6.196798957
409	6.187475694
410	6.181508465
411	6.172470252
412	6.163097358
413	6.156778866
414	6.153847452
415	6.148696445
416	6.144937198
417	6.140688014
418	6.131021924
419	6.127794407
420	6.124395896
421	6.117770727
422	6.109591208
423	6.102364361
424	6.099522049
425	6.096382644
426	6.086922046
427	6.082597127
428	6.079766024
429	6.071584744
430	6.062953501
431	6.051358048
432	6.049048538
433	6.042737948
434	6.032622462
435	6.02525484
436	6.0192471
437	6.0131329
438	6.007856863
439	6.001000768
440	5.996284143
441	5.989875298
442	5.980746085
443	5.977137509
444	5.975056861
445	5.967975081
446	5.96420393
447	5.958748156
448	5.95162312
449	5.940914602
450	5.93666087
451	5.928488154
452	5.921914025
453	5.91622938
454	5.910879868
455	5.906102228
456	5.901148442
457	5.894309951
458	5.885891517
459	5.879081681
460	5.872328772
461	5.86319129
462	5.858308711
463	5.85282512
464	5.846367305
465	5.839856384
466	5.836302711
467	5.83044012
468	5.823722587
469	5.817743298
470	5.810385241
471	5.802658087
472	5.799158921
473	5.790285183
474	5.782566585
475	5.778160683
476	5.771873615
477	5.762432626
478	5.759333411
479	5.755434263
480	5.751995211
481	5.745460171
482	5.742907019
483	5.737735044
484	5.734925341
485	5.731046331
486	5.727154188
487	5.72419535
488	5.717820519
489	5.714082877
490	5.710206705
491	5.69946743
492	5.69595995
493	5.688854737
494	5.685797719
495	5.680288356
496	5.677340517
497	5.672935849
498	5.666710586
499	5.660752014
500	5.656078452
501	5.651678957
502	5.647065532
503	5.641626946
504	5.638594863
505	5.634485887
506	5.6296504
507	5.626817893
508	5.621226273
509	5.618563771
510	5.612678827
511	5.608924357
512	5.603390855
513	5.599818022
514	5.596101537
515	5.588307535
516	5.584662594
517	5.575389897
518	5.571707801
519	5.566400894
520	5.563628679
521	5.559113737
522	5.555617052
523	5.551735089
524	5.543736795
525	5.536650468
526	5.531538006
527	5.52520439
528	5.517761069
529	5.512978343
530	5.509334725
531	5.506145253
532	5.50168029
533	5.499037559
534	5.496640567
535	5.492929235
536	5.488898268
537	5.482114001
538	5.476790939
539	5.469419059
540	5.465134602
541	5.458811064
542	5.452609294
543	5.448956082
544	5.446492455
545	5.442463833
546	5.434510573
547	5.428414619
548	5.424185952
549	5.421450261
550	5.418514294
551	5.41518128
552	5.410634966
553	5.408706133
554	5.403224073
555	5.400286012
556	5.397691143
557	5.393126964
558	5.385359539
559	5.379470977
560	5.376462978
561	5.369525832
562	5.365985772
563	5.362635722
564	5.360852777
565	5.358388418
566	5.353845492
567	5.352176663
568	5.348811786
569	5.345360963
570	5.342760033
571	5.33590417
572	5.33203689
573	5.327596293
574	5.32077167
575	5.317901015
576	5.314168934
577	5.309478463
578	5.306568396
579	5.302024613
580	5.300001951
581	5.295287916
582	5.292916967
583	5.290471538
584	5.28496549
585	5.282827256
586	5.277261652
587	5.272214688
588	5.267515698
589	5.266285137
590	5.262832149
591	5.259582718
592	5.255626627
593	5.249816728
594	5.247276542
595	5.243083746
596	5.239479447
597	5.237662471
598	5.235203244
599	5.23060409
600	5.224369639
601	5.217143007
602	5.215632418
603	5.210028223
604	5.206380239
605	5.202609761
606	5.197733172
607	5.193042757
608	5.190160324
609	5.185365955
610	5.182926678
611	5.179306956
612	5.176321081
613	5.173272794
614	5.166883218
615	5.163873007
616	5.158509848
617	5.156861696
618	5.149810466
619	5.146696163
620	5.143763519
621	5.138441623
622	5.135370839
623	5.131716279
624	5.127981506
625	5.123011946
626	5.120515994
627	5.118804569
628	5.116571864
629	5.115534375
630	5.114334716
631	5.109632561
632	5.10632566
633	5.102158926
634	5.10012809
635	5.097392039
636	5.094911225
637	5.087082663
638	5.0823633
639	5.075865461
640	5.071711175
641	5.068872829
642	5.0658122
643	5.063094975
644	5.060142892
645	5.057260621
646	5.050547393
647	5.044747403
648	5.041285795
649	5.037340878
650	5.034064835
651	5.029364886
652	5.024094304
653	5.020117839
654	5.01586459
655	5.011556563
656	5.009523417
657	5.007106946
658	5.003841959
659	5.002353998
660	4.997463177
661	4.996378373
662	4.993741303
663	4.991141072
664	4.987841858
665	4.986189621
666	4.982018836
667	4.97913899
668	4.977466317
669	4.970423013
670	4.967500403
671	4.965422742
672	4.964090955
673	4.962006797
674	4.96099466
675	4.956012262
676	4.954096072
677	4.95242868
678	4.94730089
679	4.944214224
680	4.942692897
681	4.940093745
682	4.937136411
683	4.932891063
684	4.929648265
685	4.925010253
686	4.922564386
687	4.917940023
688	4.914315526
689	4.910843742
690	4.908144962
691	4.904033212
692	4.902481895
693	4.90165479
694	4.898449253
695	4.893920952
696	4.891611906
697	4.888108625
698	4.882904361
699	4.87845582
700	4.877353258
701	4.874090018
702	4.871075823
703	4.867311474
704	4.866198249
705	4.86201713
706	4.860723293
707	4.859203836
708	4.857302164
709	4.854996187
710	4.852827363
711	4.849834417
712	4.843653623
713	4.839895983
714	4.8366905
715	4.833810408
716	4.828262934
717	4.825293441
718	4.822556254
719	4.820637342
720	4.816789171
721	4.813181664
722	4.810700246
723	4.807957877
724	4.801269746
725	4.798685023
726	4.796928302
727	4.7962336
728	4.793970154
729	4.79210981
730	4.788004047
731	4.786636848
732	4.783060369
733	4.778215484
734	4.774812449
735	4.770809445
736	4.768970519
737	4.76716859
738	4.765427579
739	4.76209416
740	4.756886629
741	4.754883171
742	4.753073371
743	4.751673842
744	4.749005751
745	4.745317333
746	4.742019452
747	4.739957533
748	4.737157989
749	4.735023941
750	4.729023612
751	4.725347027
752	4.72325214
753	4.720320027
754	4.71842969
755	4.716816703
756	4.714510914
757	4.711747283
758	4.709302183
759	4.707096934
760	4.7043661
761	4.701164182
762	4.69951521
763	4.694020044
764	4.692458323
765	4.689727388
766	4.685826699
767	4.682170575
768	4.680096028
769	4.675714728
770	4.673450515
771	4.671002614
772	4.667556237
773	4.663009622
774	4.661477072
775	4.659637125
776	4.657871793
777	4.653496321
778	4.650595024
779	4.646549433
780	4.642711322
781	4.640571506
782	4.636582836
783	4.634262148
784	4.63146205
785	4.629927326
786	4.62799576
787	4.62549955
788	4.622209814
789	4.619927864
790	4.618447994
791	4.615936899
792	4.614070258
793	4.613230331
794	4.610701581
795	4.609195244
796	4.607794664
797	4.603903993
798	4.59888842
799	4.596677307
800	4.59464114
801	4.591011866
802	4.587622462
803	4.584837806
804	4.581033367
805	4.579042209
806	4.575944113
807	4.572764324
808	4.569057283
809	4.567330543
810	4.562601422
811	4.559522376
812	4.556970158
813	4.555350348
814	4.551928745
815	4.550603181
816	4.549716409
817	4.545123599
818	4.54154357
819	4.537541581
820	4.536876503
821	4.534569006
822	4.531854494
823	4.528921484
824	4.524184422
825	4.518762659
826	4.517840348
827	4.514755518
828	4.513440551
829	4.510246942
830	4.508031422
831	4.507148095
832	4.505295677
833	4.502333561
834	4.495739441
835	4.49360029
836	4.491067263
837	4.49043724
838	4.487689735
839	4.484440982
840	4.481629195
841	4.480641298
842	4.479305453
843	4.478238466
844	4.47564937
845	4.474719475
846	4.472955868
847	4.471601534
848	4.469558157
849	4.466808247
850	4.462781822
851	4.460552372
852	4.457786138
853	4.456655531
854	4.455173488
855	4.453465489
856	4.451621365
857	4.446464196
858	4.44537664
859	4.442038922
860	4.439025687
861	4.438410359
862	4.435769669
863	4.433807959
864	4.43112124
865	4.427438258
866	4.425866625
867	4.424107598
868	4.421987364
869	4.420938095
870	4.420240217
871	4.418511028
872	4.416184744
873	4.413008258
874	4.409019091
875	4.406827783
876	4.404784488
877	4.40359437
878	4.40171789
879	4.400762269
880	4.39818649
881	4.396078627
882	4.393699011
883	4.393076167
884	4.390633959
885	4.387653671
886	4.385757793
887	4.384747286
888	4.382483597
889	4.381966669
890	4.381223588
891	4.377704228
892	4.375411558
893	4.372030805
894	4.370458867
895	4.368383086
896	4.365985353
897	4.364162528
898	4.360866923
899	4.35801763
900	4.357371027
901	4.35587402
902	4.35075761
903	4.349933421
904	4.346887545
905	4.344418866
906	4.343517358
907	4.34248649
908	4.340149
909	4.33835584
910	4.334520049
911	4.331261911
912	4.329761434
913	4.326686835
914	4.326104756
915	4.323382155
916	4.321074079
917	4.317656836
918	4.316591818
919	4.314442078
920	4.311127981
921	4.309511715
922	4.30727259
923	4.30464827
924	4.304111188
925	4.302976717
926	4.299807663
927	4.2977831
928	4.295814431
929	4.293104376
930	4.2908921
931	4.287818408
932	4.285183515
933	4.284126377
934	4.282646861
935	4.281177074
936	4.279435628
937	4.276937276
938	4.27405128
939	4.2721849
940	4.269228956
941	4.267481563
942	4.264575391
943	4.264066477
944	4.262159091
945	4.259334724
946	4.257653602
947	4.254266179
948	4.252988262
949	4.251495617
950	4.249518879
951	4.247087678
952	4.244278457
953	4.242505682
954	4.241027645
955	4.238559976
956	4.238013924
957	4.235501329
958	4.233793049
959	4.233406971
960	4.231756934
961	4.231298551
962	4.229144776
963	4.227066664
964	4.225588003
965	4.223107165
966	4.222209907
967	4.220477858
968	4.218027634
969	4.216067948
970	4.213275953
971	4.208291634
972	4.205366316
973	4.203693085
974	4.202312725
975	4.20152928
976	4.199736312
977	4.19748039
978	4.196098517
979	4.191153951
980	4.188937272
981	4.188170887
982	4.187388409
983	4.183219815
984	4.181716784
985	4.180173377
986	4.1789805
987	4.177357664
988	4.176340052
989	4.173563372
990	4.171471185
991	4.169164834
992	4.166670756
993	4.164018945
994	4.160676495
995	4.16004104
996	4.157902637
997	4.156934579
998	4.154813135
999	4.154280852
