iter	RMSE
0	303.6370166
1	286.3128354
2	269.6288167
3	254.0412696
4	239.4767259
5	225.7651632
6	213.1940626
7	200.9655658
8	189.6278448
9	178.805323
10	168.7483469
11	159.2084459
12	150.5311944
13	142.1666577
14	134.206662
15	126.8481107
16	120.1258665
17	113.5767051
18	107.2407303
19	101.1975482
20	95.74757219
21	90.4291213
22	85.44040972
23	80.70975014
24	76.5238507
25	72.55778726
26	68.65180569
27	65.09341821
28	61.65992479
29	58.51100156
30	55.5358857
31	52.67300911
32	50.03388553
33	47.5836564
34	45.37960778
35	43.24775632
36	41.23887458
37	39.34295402
38	37.5347345
39	35.85584426
40	34.2296503
41	32.75533823
42	31.4940945
43	30.20682698
44	29.07526599
45	27.98650812
46	27.0217159
47	26.07407425
48	25.20008904
49	24.38089399
50	23.60515269
51	22.84667336
52	22.22185779
53	21.60266551
54	21.05891477
55	20.49981348
56	20.00752393
57	19.52148429
58	19.04518967
59	18.63864221
60	18.2498003
61	17.88515375
62	17.54610298
63	17.24390223
64	16.94340003
65	16.65787768
66	16.38676287
67	16.1793435
68	15.95936456
69	15.73831559
70	15.54880369
71	15.35021778
72	15.17002532
73	15.00305638
74	14.82655337
75	14.67379429
76	14.51539238
77	14.37961799
78	14.25602829
79	14.13249608
80	13.99770079
81	13.88022726
82	13.77111525
83	13.65185273
84	13.54993787
85	13.46133495
86	13.36078555
87	13.26022801
88	13.1497101
89	13.0616378
90	12.99216564
91	12.8981947
92	12.81360602
93	12.74587494
94	12.68131637
95	12.60585047
96	12.53161616
97	12.45756578
98	12.39390051
99	12.31452196
100	12.25987469
101	12.20657478
102	12.14958439
103	12.06994011
104	11.99732695
105	11.93538388
106	11.8915436
107	11.83981574
108	11.7805811
109	11.7235885
110	11.6807261
111	11.63237713
112	11.57757809
113	11.52399448
114	11.48582539
115	11.44066235
116	11.39903955
117	11.35507164
118	11.30918863
119	11.25768074
120	11.22350938
121	11.171425
122	11.13794834
123	11.10328516
124	11.05230609
125	11.01492041
126	10.95839056
127	10.90833442
128	10.86687842
129	10.84780684
130	10.82484138
131	10.76575112
132	10.73399568
133	10.69695514
134	10.65716793
135	10.61921182
136	10.58416254
137	10.53552317
138	10.50087731
139	10.464841
140	10.42268132
141	10.3709356
142	10.34153826
143	10.30598616
144	10.25740298
145	10.22238674
146	10.20190793
147	10.18453067
148	10.15488428
149	10.12058346
150	10.09424201
151	10.0547088
152	10.01950597
153	9.990240414
154	9.962811892
155	9.933629714
156	9.91484276
157	9.881983985
158	9.851682726
159	9.815164138
160	9.787332862
161	9.753591372
162	9.725156792
163	9.705785235
164	9.693915303
165	9.665503396
166	9.642223568
167	9.604584064
168	9.587187207
169	9.560256486
170	9.511387852
171	9.493174106
172	9.450314913
173	9.425135945
174	9.396111542
175	9.376291582
176	9.355104051
177	9.334828874
178	9.312332611
179	9.273512575
180	9.253807495
181	9.219956645
182	9.179663094
183	9.158255266
184	9.124119438
185	9.099435839
186	9.068085684
187	9.049264622
188	9.029024099
189	9.011808559
190	8.97412623
191	8.949186361
192	8.92092569
193	8.898707372
194	8.874020121
195	8.855280835
196	8.836094039
197	8.816604817
