iter	Passed	Remaining
411	3241	4626
412	3249	4618
413	3257	4610
414	3263	4600
415	3269	4590
416	3275	4578
417	3282	4570
418	3288	4559
419	3294	4549
420	3300	4538
421	3305	4527
422	3313	4519
423	3319	4509
424	3326	4500
425	3331	4489
426	3337	4478
427	3345	4470
428	3351	4461
429	3360	4455
430	3368	4446
431	3375	4438
432	3381	4427
433	3386	4417
434	3394	4408
435	3399	4398
436	3407	4389
437	3413	4379
438	3418	4368
439	3426	4360
440	3431	4350
441	3438	4340
442	3444	4331
443	3450	4320
444	3457	4312
445	3465	4304
446	3472	4295
447	3477	4285
448	3483	4275
449	3491	4266
450	3496	4256
451	3504	4248
452	3510	4238
453	3516	4228
454	3523	4220
455	3529	4210
456	3536	4202
457	3542	4192
458	3548	4182
459	3557	4175
460	3564	4167
461	3571	4159
462	3577	4148
463	3584	4140
464	3590	4130
465	3596	4120
466	3603	4112
467	3611	4105
468	3619	4097
469	3625	4088
470	3631	4078
471	3638	4069
472	3644	4060
473	3652	4053
474	3658	4043
475	3665	4035
476	3673	4027
477	3679	4017
478	3685	4008
479	3691	3998
480	3698	3990
481	3704	3980
482	3710	3971
483	3717	3963
484	3723	3953
485	3730	3945
486	3736	3936
487	3743	3927
488	3750	3918
489	3757	3910
490	3765	3904
491	3773	3895
492	3780	3887
493	3786	3878
494	3792	3868
495	3798	3859
496	3804	3850
497	3811	3842
498	3817	3832
499	3823	3823
500	3830	3814
501	3836	3806
502	3844	3798
503	3849	3788
504	3856	3780
505	3864	3772
506	3870	3763
507	3878	3755
508	3883	3746
509	3891	3738
510	3897	3729
511	3903	3720
512	3910	3712
513	3916	3702
514	3923	3695
515	3929	3685
516	3935	3676
517	3942	3668
518	3948	3659
519	3956	3651
520	3961	3642
521	3967	3633
522	3975	3626
523	3982	3618
524	3990	3610
525	3996	3601
526	4003	3593
527	4009	3584
528	4020	3579
529	4026	3570
530	4031	3561
531	4038	3553
532	4045	3544
533	4054	3537
534	4059	3528
535	4067	3520
536	4074	3513
537	4080	3503
538	4087	3496
539	4093	3487
540	4101	3480
541	4107	3471
542	4114	3462
543	4120	3454
544	4126	3444
545	4133	3437
546	4140	3428
547	4147	3420
548	4153	3411
549	4159	3402
550	4166	3395
551	4172	3386
552	4179	3378
553	4187	3370
554	4194	3363
555	4200	3354
556	4206	3345
557	4213	3337
558	4220	3329
559	4227	3321
560	4233	3312
561	4238	3303
562	4246	3295
563	4252	3287
564	4257	3278
565	4264	3269
566	4270	3260
567	4277	3253
568	4285	3245
569	4292	3237
570	4297	3228
571	4303	3219
572	4310	3212
573	4317	3204
574	4325	3196
575	4332	3189
576	4338	3180
577	4344	3172
578	4350	3163
579	4357	3155
580	4363	3146
581	4369	3138
582	4375	3129
583	4381	3120
584	4389	3113
585	4396	3106
586	4404	3098
587	4410	3090
588	4421	3085
589	4426	3076
590	4432	3067
591	4438	3059
592	4444	3050
593	4452	3043
594	4458	3034
595	4465	3027
596	4471	3018
597	4477	3009
598	4485	3002
599	4492	2995
600	4500	2987
601	4506	2979
602	4512	2970
603	4518	2962
604	4524	2954
605	4532	2946
606	4538	2938
607	4544	2930
608	4550	2921
609	4556	2913
610	4564	2906
611	4570	2897
612	4577	2890
613	4585	2882
614	4592	2874
615	4598	2866
616	4604	2857
617	4611	2850
618	4617	2842
619	4623	2833
620	4630	2826
621	4636	2817
622	4643	2810
623	4649	2801
624	4655	2793
625	4662	2785
626	4668	2777
627	4675	2769
628	4681	2761
629	4687	2752
630	4695	2746
631	4702	2737
632	4709	2730
633	4715	2722
634	4724	2715
635	4729	2707
636	4735	2698
637	4742	2691
638	4748	2682
639	4756	2675
640	4762	2667
641	4768	2658
642	4774	2651
643	4780	2642
644	4788	2635
645	4795	2628
646	4804	2621
647	4812	2614
648	4820	2606
649	4825	2598
650	4831	2590
651	4838	2582
652	4844	2574
653	4852	2567
654	4858	2558
655	4863	2550
656	4871	2543
657	4876	2534
658	4884	2527
659	4890	2519
660	4895	2510
661	4903	2503
662	4910	2496
663	4918	2488
664	4924	2480
665	4931	2473
666	4937	2465
667	4943	2456
668	4950	2449
669	4957	2441
670	4964	2433
671	4969	2425
672	4975	2417
673	4982	2410
674	4988	2401
675	4995	2394
676	5003	2387
677	5009	2379
678	5016	2371
679	5022	2363
680	5029	2355
681	5035	2347
682	5040	2339
683	5048	2332
684	5054	2324
685	5061	2316
686	5067	2308
687	5073	2300
688	5080	2293
689	5085	2284
690	5093	2277
691	5101	2270
692	5108	2262
693	5113	2254
694	5119	2246
695	5127	2239
696	5132	2231
697	5139	2223
698	5145	2215
699	5151	2207
700	5158	2200
701	5164	2192
702	5170	2184
703	5176	2176
704	5181	2168
705	5189	2161
706	5196	2153
707	5205	2147
708	5212	2139
709	5218	2131
710	5225	2123
711	5231	2116
712	5238	2108
713	5244	2100
714	5250	2093
715	5257	2085
716	5263	2077
717	5270	2070
718	5276	2062
719	5281	2054
720	5288	2046
721	5296	2039
722	5304	2032
723	5311	2024
724	5319	2017
725	5324	2009
726	5330	2001
727	5337	1994
728	5343	1986
729	5350	1978
730	5356	1971
731	5362	1963
732	5369	1955
733	5375	1947
734	5382	1940
735	5388	1932
736	5394	1925
737	5401	1917
738	5407	1909
739	5415	1902
740	5422	1895
741	5430	1888
742	5435	1880
743	5441	1872
744	5448	1865
745	5454	1857
746	5462	1849
747	5467	1842
748	5473	1834
749	5481	1827
750	5487	1819
751	5495	1812
752	5500	1804
753	5506	1796
754	5516	1789
755	5522	1782
756	5529	1774
757	5535	1767
758	5541	1759
759	5547	1751
760	5553	1744
761	5560	1736
762	5566	1729
763	5573	1721
764	5579	1713
765	5585	1706
766	5592	1698
767	5600	1691
768	5609	1684
769	5615	1677
770	5621	1669
771	5629	1662
772	5634	1654
773	5642	1647
774	5648	1639
775	5655	1632
776	5661	1624
777	5666	1617
778	5676	1610
779	5683	1603
780	5691	1596
781	5699	1588
782	5708	1581
783	5715	1574
784	5724	1567
785	5731	1560
786	5738	1553
787	5745	1545
788	5753	1538
789	5760	1531
790	5766	1523
791	5772	1516
792	5778	1508
793	5786	1501
794	5791	1493
795	5798	1486
796	5805	1478
797	5810	1470
798	5818	1463
799	5826	1456
800	5833	1449
801	5839	1441
802	5845	1434
803	5852	1426
804	5858	1419
805	5866	1411
806	5872	1404
807	5877	1396
808	5885	1389
809	5891	1381
810	5898	1374
811	5904	1367
812	5912	1359
813	5918	1352
814	5924	1344
815	5931	1337
816	5938	1330
817	5946	1323
818	5952	1315
819	5958	1307
820	5964	1300
821	5970	1292
822	5978	1285
823	5984	1278
824	5994	1271
825	6000	1264
826	6006	1256
827	6013	1249
828	6019	1241
829	6027	1234
830	6034	1227
831	6041	1219
832	6047	1212
833	6053	1204
834	6060	1197
835	6066	1190
836	6074	1182
837	6079	1175
838	6085	1167
839	6093	1160
840	6098	1153
841	6105	1145
842	6110	1138
843	6116	1130
844	6124	1123
845	6131	1116
846	6138	1108
847	6145	1101
848	6151	1094
849	6158	1086
850	6164	1079
851	6172	1072
852	6178	1064
853	6183	1057
854	6190	1049
855	6196	1042
856	6203	1035
857	6209	1027
858	6215	1020
859	6222	1013
860	6228	1005
861	6236	998
862	6243	991
863	6251	983
864	6257	976
865	6264	969
866	6270	961
867	6278	954
868	6285	947
869	6291	940
870	6297	932
871	6303	925
872	6309	917
873	6316	910
874	6322	903
875	6328	895
876	6335	888
877	6341	881
878	6349	873
879	6356	866
880	6362	859
881	6368	852
882	6374	844
883	6381	837
884	6387	829
885	6397	823
886	6403	815
887	6408	808
888	6415	801
889	6422	793
890	6429	786
891	6435	779
892	6440	771
893	6449	764
894	6455	757
895	6463	750
896	6469	742
897	6475	735
898	6482	728
899	6488	720
900	6495	713
901	6501	706
902	6508	699
903	6513	691
904	6520	684
905	6527	677
906	6533	669
907	6540	662
908	6546	655
909	6552	648
910	6560	640
911	6567	633
912	6574	626
913	6580	619
914	6586	611
915	6593	604
916	6598	597
917	6606	590
918	6612	582
919	6618	575
920	6625	568
921	6630	560
922	6638	553
923	6644	546
924	6650	539
925	6659	532
926	6665	524
927	6672	517
928	6678	510
929	6685	503
930	6691	495
931	6697	488
932	6704	481
933	6710	474
934	6717	466
935	6723	459
936	6729	452
937	6737	445
938	6743	438
939	6750	430
940	6757	423
941	6763	416
942	6775	409
943	6782	402
944	6788	395
945	6794	387
946	6801	380
947	6807	373
948	6814	366
949	6820	358
950	6826	351
951	6833	344
952	6839	337
953	6846	330
954	6851	322
955	6857	315
956	6865	308
957	6872	301
958	6880	294
959	6885	286
960	6891	279
961	6898	272
962	6904	265
963	6911	258
964	6917	250
965	6924	243
966	6930	236
967	6936	229
968	6944	222
969	6949	214
970	6955	207
971	6963	200
972	6969	193
973	6977	186
974	6984	179
975	6992	171
976	6997	164
977	7003	157
978	7010	150
979	7017	143
980	7024	136
981	7031	128
982	7036	121
983	7043	114
984	7048	107
985	7056	100
986	7062	93
987	7067	85
988	7075	78
989	7082	71
990	7090	64
991	7096	57
992	7103	50
993	7108	42
994	7114	35
995	7122	28
996	7128	21
997	7133	14
998	7139	7
999	7145	0
